户型,信息,房名,地址,描述
3室2厅2卫,"['89.77㎡', '南', '中层(共34层)', '2012年建造']",首创东公元,龙泉驿政务中心北泉路909号,"['南', 'VIP房东直卖', '满五年', '近地铁']"
2室1厅1卫,"['85.93㎡', '南北', '高层(共32层)', '2018年建造']",北成8号,"金牛人民北路人民北路一段8号,万担仓路2号","['南北', '满五年', '近地铁', '车位充足']"
3室2厅1卫,"['91.09㎡', '南北', '中层(共32层)', '2020年建造']",中洲锦城湖岸,高新区大源天府一街616号,"['南北', '满五年', '近地铁', '次新房']"
5室3厅5卫,"['121.14㎡', '南北', '低层(共34层)', '2020年建造']",南湖国际社区(南区),天府新区南湖南湖西路175号,"['经纪人力荐', '南北', '满五年', '近地铁']"
4室2厅2卫,"['124.12㎡', '南', '低层(共31层)', '2019年建造']",北星城,金牛天回镇天龙南一路118号,"['南', '近地铁', '绿化率高']"
3室2厅1卫,"['89㎡', '东', '低层(共17层)', '2015年建造']",前锋空港国际,"双流航空港长江路三段88号,长江路三段30号","['东', '满五年', '车位充足']"
3室2厅1卫,"['89.87㎡', '南北', '低层(共34层)', '2015年建造']",人居锦尚春天A区,锦江三圣乡樱花街1238号,"['南北', '满五年', '近地铁', '多人关注']"
2室2厅2卫,"['91.79㎡', '南北', '高层(共28层)', '2012年建造']",雅颂居(一期),高新区大源荣华北路299号,"['南北', '满五年', '近地铁']"
3室2厅1卫,"['78.09㎡', '东北', '高层(共32层)', '2020年建造']",中铁骑士府邸,"双流华府剑南大道2266号,协中路111号","['东北', '南北通透', '满五', '房东急售']"
3室2厅1卫,"['93.25㎡', '南', '低层(共30层)', '2018年建造']",家益凤凰富居,新都大丰甫家一路东段289号,"['南', '满二年', '近地铁', '车位充足']"
3室2厅2卫,"['89.12㎡', '南', '高层(共33层)', '2017年建造']",明信仕林府,温江温江城区百信路188号,"['南', '近地铁', '房东急售', '随时可看']"
4室2厅3卫,"['189.44㎡', '南', '高层(共32层)', '2015年建造']",珠江御景湾,温江光华大道燎原路228号,"['南', '房东直卖', '满五年', '近地铁']"
3室2厅1卫,"['90.42㎡', '南北', '低层(共26层)', '2018年建造']",浪琴湾,青羊贝森瑞南街33号,"['南北', '满五年', '近地铁']"
3室2厅1卫,"['91.33㎡', '西北', '高层(共17层)', '2012年建造']",源丰河滨鹭岛,郫都蜀都万达凉水井西路46号,"['西北', '满五年', '近地铁', '多人关注']"
3室2厅1卫,"['85.63㎡', '东南', '中层(共17层)', '2017年建造']",蓝润华府春天,双流华府光电大道289号,"['东南', '满五年']"
3室2厅2卫,"['95.16㎡', '北', '高层(共34层)', '2019年建造']",花样年香门第北区,郫都郫筒蜀信西路577号,"['北', '满二年', '近地铁']"
3室2厅1卫,"['88.55㎡', '西南', '高层(共32层)', '2011年建造']",佳乐国际城三期,"新都三河乐城金街83号,乐城金街88号","['西南', '满五年']"
3室2厅2卫,"['141.11㎡', '南', '中层(共25层)', '2021年建造']",王府井商务公寓,"锦江春熙路总府街15号,华兴正街9号","['南', '满五年', '近地铁', '次新房']"
4室2厅2卫,"['143.83㎡', '西南', '高层(共33层)', '2018年建造']",首开龙湖紫宸(二期),金牛茶店子花照壁西顺街267号,"['西南', '房东直卖', '满五年', '近地铁']"
3室2厅1卫,"['91.19㎡', '南', '中层(共23层)', '2018年建造']",中航城,郫都红光鹃兴路666号,"['南', '房东直卖', '满二年']"
4室2厅3卫,"['171.65㎡', '南', '共4层', '2015年建造']",月映长滩栖湖(别墅),"温江金马镇太极大道666号,横湖路66号","['南', '车位充足']"
3室1厅2卫,"['127.62㎡', '南', '高层(共26层)', '2022年建造']",人居锦城峰荟荟澜阁,锦江三圣乡椿树街393号,"['南', '配套成熟', '优势户型', '房东急售']"
3室2厅2卫,"['90.7㎡', '南', '高层(共32层)', '2019年建造']",中冶中央公园,郫都郫筒梨园路一段708号,"['南', '满五年', '近地铁']"
3室2厅2卫,"['98.08㎡', '南', '低层(共15层)', '2018年建造']",佳兆业西城广场,青羊青羊周边乐平五路198号,"['南', '价格优惠', '房东急售', '随时可看']"
3室2厅1卫,"['81.3㎡', '南', '高层(共7层)', '1994年建造']",牧电路21号院,青羊浣花小区牧电路21号,"['南', '近地铁']"
3室2厅1卫,"['97.95㎡', '东北', '低层(共33层)', '2016年建造']",雅居乐十里花巷,天府新区雅居乐麓山大道二段19号附7号,"['东北', '房东直卖', '满二年', '车位充足']"
4室2厅2卫,"['123.15㎡', '南', '中层(共27层)', '2019年建造']",蓝光公园华府,龙泉驿大面成龙大道金枫路398号,"['南', '满二年', '车位充足']"
3室2厅1卫,"['88.99㎡', '南', '高层(共11层)', '2010年建造']",万科魅力之城(四期),成华成渝立交万科路4号,"['南', '近地铁', '绿化率高']"
3室2厅1卫,"['90㎡', '西', '中层(共29层)', '2011年建造']",ICON尚郡,高新区大源盛邦街899号,"['西', '热门小区', '南北通透', '满五']"
3室2厅2卫,"['98㎡', '南', '低层(共33层)', '2015年建造']",南湖国际社区(南区),天府新区南湖南湖西路175号,"['南', '满五年', '近地铁', '多人关注']"
3室2厅2卫,"['98.4㎡', '东', '中层(共31层)', '2016年建造']",保利爱尚里,新都大丰诚信路456号,"['东', '满二年', '车位充足', '户型方正']"
3室2厅2卫,"['131.47㎡', '南', '中层(共24层)', '2013年建造']",中新公园大道,温江光华大道清泉北街66号,"['南', '满五年', '近地铁']"
3室2厅2卫,"['93.19㎡', '南', '高层(共34层)', '2019年建造']",新景鼎南川宇,"高新区中和新成仁路139号,康和西一街36号","['南', '满五年', '近地铁', '车位充足']"
3室2厅2卫,"['94.64㎡', '南', '中层(共18层)', '2014年建造']",莱茵北郡,新都三河厚诚路123号,"['南', '满五年', '近地铁', '采光较好']"
3室2厅1卫,"['74.21㎡', '东北', '中层(共25层)', '2019年建造']",万科理想城三期星河,郫都犀浦学园路285号,"['东北', '满二年', '近地铁']"
3室2厅1卫,"['78.44㎡', '南北', '低层(共7层)', '1990年建造']",五块石成长司宿舍,青羊草堂大石东路右三巷5号,"['南北', '满五年', '近地铁']"
3室2厅2卫,"['84.24㎡', '东南', '中层(共25层)', '2019年建造']",时代悦城,郫都郫筒中信大道三段,"['东南', '满二年', '近地铁']"
3室2厅2卫,"['89.9㎡', '南', '中层(共22层)', '2015年建造']",比华利国际城三期,锦江川师佳宏北路39号,"['南', '满五年', '近地铁']"
2室2厅1卫,"['81.55㎡', '南', '中层(共18层)', '2013年建造']",慕和南道,天府新区华阳华府大道一段898号,"['南', '满五年', '近地铁']"
3室2厅2卫,"['91.08㎡', '南北', '低层(共30层)', '2018年建造']",龙湖时代天街,高新西区西源大道合作路89号,"['南北', '满五年', '近地铁', '车位充足']"
3室2厅1卫,"['93.19㎡', '南', '低层(共18层)', '2017年建造']",大都保峰玖著,新都三河园香路199号,"['南', '唯一住房', '近地铁', '采光较好']"
3室2厅2卫,"['90.8㎡', '西', '高层(共18层)', '2012年建造']",合能珍宝翡翠,双流棠湖银河路四段188号,"['西', '满五年', '车位充足']"
3室2厅2卫,"['111㎡', '东', '低层(共32层)', '2012年建造']",保利心语观园国际,高新区大源富华南路1700号,"['东', '房东直卖', '满五年', '近地铁']"
3室2厅2卫,"['95.61㎡', '西', '中层(共31层)', '2022年建造']",保利爱尚里,新都大丰诚信路456号,"['西', '车位充足']"
3室2厅2卫,"['106.63㎡', '南', '低层(共32层)', '2018年建造']",皇冠湖壹号,龙泉驿东安湖桃都大道中段999号,"['南', '满五年', '近地铁']"
3室2厅2卫,"['91.96㎡', '南', '中层(共29层)', '2017年建造']",昊园江南壹品,"龙泉驿西河成洛大道109号,西江大道518号","['南', '满二年', '车位充足']"
3室2厅2卫,"['125.73㎡', '南', '低层(共18层)', '2015年建造']",黄金时代(高新),"高新区中和应龙北一路121号,吉龙一街188号","['南', '满五年', '近地铁', '车位充足']"
3室2厅2卫,"['93.23㎡', '南', '低层(共26层)', '2017年建造']",龙光君悦华庭(一期),郫都郫筒和平南二街123号,"['南', '房东直卖', '满二年', '近地铁']"
3室2厅1卫,"['95.2㎡', '南北', '高层(共18层)', '2014年建造']",保利城(一期),新都大丰甫家一路东段689号,"['南北', '满五年', '近地铁', '车位充足']"
3室2厅2卫,"['124.96㎡', '南', '中层(共6层)', '2004年建造']",风林假日,金牛高家庄蜀西路20号,"['南', '满五年', '近地铁', '绿化率高']"
2室2厅1卫,"['87.17㎡', '西南', '低层(共33层)', '2010年建造']",中房红枫岭(二期),"成华建设路枫林路123号,圣灯路111号","['西南', '满五年', '近地铁']"
2室2厅1卫,"['88.48㎡', '南北', '高层(共6层)', '2000年建造']",竹韵菁华,青羊浣花小区青华路42号,"['南北', '近地铁', '车位充足']"
3室2厅2卫,"['93.29㎡', '南北', '高层(共29层)', '2018年建造']",碧桂园城市花园,金牛天回镇天龙南三路316号,"['南北', '近地铁']"
3室2厅1卫,"['89.68㎡', '东', '中层(共32层)', '2017年建造']",新城吾悦广场,龙泉驿东安湖桃都大道888号,"['东', '满五年', '近地铁', '绿化率高']"
4室2厅2卫,"['138.19㎡', '西北', '高层(共11层)', '2021年建造']",中南樾府,"金牛天回镇聚霞路933号,聚沙路288号","['西北', '满二年', '近地铁', '车位充足']"
3室2厅1卫,"['83.86㎡', '南', '中层(共34层)', '2016年建造']",锦江国际花园,锦江川师锦绣大道3555号,"['南', '满五年', '近地铁', '绿化率高']"
3室2厅2卫,"['96.12㎡', '南北', '低层(共42层)', '2019年建造']",万科翡翠公园,天府新区锦江生态带瑞祥西街818号,"['南北', '满二年', '近地铁', '车位充足']"
3室2厅1卫,"['91.67㎡', '南', '中层(共20层)', '2007年建造']",禾嘉利好,金牛荷花池二环北三段199号,"['南', '满五年', '近地铁']"
4室2厅2卫,"['117.64㎡', '南北', '高层(共6层)', '2012年建造']",中铁瑞景澜庭,温江光华大道花都大道西段266号,"['南北', '近地铁']"
3室2厅2卫,"['83.51㎡', '南北', '高层(共29层)', '2019年建造']",明信城B区,"温江南熏大道百信路,近杨柳东路南段","['南北', '满二年', '近地铁', '车位充足']"
3室2厅2卫,"['91.7㎡', '东南', '低层(共23层)', '2018年建造']",万科城,郫都犀浦两河东路115号,"['东南', '近地铁', '价格优惠', '随时可看']"
3室2厅2卫,"['92.55㎡', '西南', '中层(共18层)', '2015年建造']",月映长滩栖悦,温江金马镇兴元路3398号,"['西南', '满二年', '户型方正']"
3室2厅2卫,"['93.3㎡', '南', '高层(共22层)', '2019年建造']",铂悦郡(一期),郫都红光红光路北一段299号,"['南', '有电梯', '近地铁']"
3室2厅2卫,"['90.8㎡', '南北', '低层(共33层)', '2019年建造']",保利爱尚里,新都大丰诚信路456号,"['南北', '满二年', '车位充足']"
3室2厅1卫,"['86㎡', '南', '高层(共18层)', '2015年建造']",舜苑一里阳光沃客郡,郫都郫筒望丛东路308号,"['南', '热门小区', '配套成熟', '随时可看']"
3室2厅2卫,"['95㎡', '南北', '中层(共32层)', '2019年建造']",保利春天花语,新都大丰赵家寺路386号,"['南北', '满二年', '近地铁', '多人关注']"
3室2厅1卫,"['88.18㎡', '南北', '低层(共47层)', '2018年建造']",金地天府城,高新区南延线海洋路109号,"['南北', '近地铁', '价格优惠', '随时可看']"
3室2厅2卫,"['98.64㎡', '南', '低层(共25层)', '2015年建造']",保利城四期A区,新都大丰大丰街道宝丰巷55号,"['南', '车位充足']"
3室2厅1卫,"['83.08㎡', '南', '中层(共27层)', '2012年建造']",九形道,新都大丰赵家寺路99号,"['南', '近地铁', '车位充足']"
4室2厅2卫,"['115.23㎡', '南', '低层(共32层)', '2021年建造']",北辰南湖香麓,天府新区南湖美岸路二段199号,"['南', '满二年', '近地铁', '车位充足']"
3室2厅1卫,"['82.76㎡', '东', '高层(共34层)', '2014年建造']",合能珍宝琥珀一二期,"温江光华大道凤凰南大街174号,花土路1519号","['东', '满二年', '近地铁']"
3室2厅2卫,"['105㎡', '南', '高层(共26层)', '2018年建造']",汇景新城,"新都石油大学新泰东路144号,蜀龙大道中段1011号","['南', '满二年', '近地铁', '车位充足']"
3室2厅2卫,"['90.44㎡', '南北', '低层(共34层)', '2019年建造']",新城吾悦广场,龙泉驿东安湖桃都大道888号,"['南北', '满五年', '近地铁', '绿化率高']"
3室2厅2卫,"['99.68㎡', '东南', '低层(共18层)', '2023年建造']",中建锦绣天地,郫都蜀都万达五显庙下街271号,"['东南', '满二年', '车位充足', '采光较好']"
2室2厅1卫,"['88㎡', '南北', '低层(共32层)', '2010年建造']",中海兰庭,高新区大源盛邦街333号,"['南北', '满二年', '近地铁']"
3室2厅1卫,"['73.88㎡', '南', '中层(共33层)', '2016年建造']",中粮锦云,成华杉板桥崔家店横二街42号,"['南', '房东直卖', '满五年', '近地铁']"
2室2厅1卫,"['83.02㎡', '南', '高层(共34层)', '2011年建造']",西西里二期公园前,"金牛茶店子育仁北路128号,育仁北路123号","['南', '满五年', '近地铁']"
3室2厅2卫,"['115.76㎡', '西北', '低层(共32层)', '2018年建造']",远大中央公园,天府新区南湖南湖大道333号,"['西北', '满五年', '近地铁', '绿化率高']"
2室2厅1卫,"['89.77㎡', '南北', '高层(共31层)', '2015年建造']",现代城,"金牛沙湾沙湾路258号,金沙路169号","['南北', '满五年', '近地铁', '车位充足']"
3室2厅2卫,"['219.92㎡', '南北', '低层(共32层)', '2008年建造']",天鹅湖花园,高新区世纪城天府大道中段177号,"['南北', '满五年', '近地铁', '绿化率高']"
1室1厅1卫,"['56.01㎡', '南北', '中层(共18层)', '2022年建造']",缤纷假日,青羊太升路白丝街2号,"['南北', '满五年', '近地铁', '次新房']"
3室2厅2卫,"['110.56㎡', '南', '高层(共32层)', '2010年建造']",芙蓉名城三期,新都石油大学清源路300号,"['南', '满五年', '近地铁', '动线良好']"
3室2厅1卫,"['83㎡', '北', '低层(共16层)', '2016年建造']",蓝光圣菲悦城,"双流航空港黄河中路二段9号,西航港街段大件路白家段996号","['北', '满二年', '近地铁']"
3室2厅2卫,"['94.34㎡', '西', '低层(共41层)', '2016年建造']",天府逸家二期,龙泉驿大面金槐街158号,"['西', '满二年']"
3室2厅1卫,"['88㎡', '东南', '低层(共39层)', '2015年建造']",金地天府城,高新区南延线海洋路109号,"['东南', '唯一住房', '近地铁']"
3室0厅0卫,"['86.45㎡', '西南', '中层(共34层)', '2012年建造']",果壳里的城,"龙泉驿政务中心大连北路78号,北泉路1188号","['西南', '唯一住房', '近地铁', '绿化率高']"
5室2厅3卫,"['186.22㎡', '南', '高层(共27层)', '2012年建造']",保利蔷薇郡,新都三河蔷薇路348号,"['经纪人力荐', '南', '有电梯', '绿化率高']"
3室2厅2卫,"['90㎡', '东北', '低层(共21层)', '2018年建造']",万科城臻园,"郫都犀浦两河东路319号,天辰路190号","['东北', '近地铁']"
3室2厅1卫,"['92.08㎡', '南北', '低层(共7层)', '1998年建造']",博雅园,青羊长顺街四道街5号,"['南北', '配套成熟', '优势户型', '随时可看']"
3室2厅1卫,"['89.93㎡', '南北', '中层(共28层)', '2014年建造']",新里柏仕公馆,成华火车东站金马河路8号,"['南北', '满五年', '近地铁']"
3室2厅1卫,"['81.24㎡', '南北', '高层(共26层)', '2009年建造']",富丽碧蔓汀,"金牛李家沱解放东街33号,解放路一段75号","['南北', '满五年', '近地铁']"
3室2厅1卫,"['76.05㎡', '南北', '中层(共30层)', '2015年建造']",圣采泊尚,新都大丰敬成路501号,"['南北', '近地铁']"
3室2厅2卫,"['129㎡', '西北', '低层(共48层)', '2015年建造']",龙湖世纪峰景,高新区世纪城世纪城路418号,"['西北', '满五年', '近地铁']"
3室2厅2卫,"['89.14㎡', '南', '低层(共16层)', '2015年建造']",当代璞誉,武侯武侯周边兆景路,"['南', '满五年', '近地铁', '车位充足']"
4室2厅2卫,"['156.9㎡', '南北', '中层(共31层)', '2021年建造']",人居花照云庭,金牛交大路一品天下大街808号,"['南北', '满五年', '近地铁', '车位充足']"
3室2厅1卫,"['86.27㎡', '西', '中层(共16层)', '2014年建造']",蓝润棠湖春天,双流航空港福通路99号,"['西', '满五年']"
3室1厅1卫,"['83.86㎡', '南', '低层(共26层)', '2012年建造']",麦田国际社区,新都新都老城区工业大道西段393号,"['南', '满五年', '近地铁']"
3室2厅2卫,"['92.58㎡', '南北', '低层(共34层)', '2017年建造']",雄飞生活广场,龙泉驿西河成洛大道3199号,"['南北', '有电梯', '近地铁', '车位充足']"
3室2厅1卫,"['96.45㎡', '东', '中层(共30层)', '2012年建造']",深业泰然怡湖玫瑰苑,青白江青白江城区青江北路69号,"['东', '满五年', '户型方正']"
4室2厅2卫,"['133.85㎡', '北', '中层(共34层)', '2020年建造']",保利天汇,"金牛天回镇天高路766号,天龙北三路366号","['北', '近地铁', '车位充足']"
2室2厅1卫,"['84.8㎡', '东南', '中层(共30层)', '2010年建造']",西城公馆,"金牛一品天下一品天下大街399号,茶店子正街18号","['东南', '满五年', '近地铁', '绿化率高']"
3室2厅2卫,"['117.94㎡', '东', '低层(共33层)', '2017年建造']",中海右岸(一期),双流华府剑南大道南段2688号,"['东', '满二年', '近地铁', '车位充足']"
3室2厅2卫,"['90.05㎡', '西', '低层(共32层)', '2017年建造']",保利爱尚里,新都大丰诚信路456号,"['西', '车位充足']"
3室2厅1卫,"['89.8㎡', '东南', '中层(共32层)', '2012年建造']",新里柏仕公馆,成华火车东站金马河路8号,"['东南', '满五年', '近地铁']"
4室2厅2卫,"['115.19㎡', '东', '高层(共33层)', '2019年建造']",澳洲湾,新都新都老城区兴城大道533号,"['东', '有电梯', '近地铁', '车位充足']"
3室2厅2卫,"['117.36㎡', '南北', '低层(共6层)', '2013年建造']",龙城1号,龙泉驿大面龙城大道1号,"['南北', '满二年', '近地铁', '绿化率高']"
3室2厅1卫,"['88.28㎡', '北', '高层(共18层)', '2013年建造']",中国铁建青秀城,成华青龙场致顺路555号,"['北', '新上小区', '随时可看']"
3室1厅1卫,"['73.31㎡', '南', '低层(共23层)', '2014年建造']",绿地国际花都三期,郫都郫筒创智南一路39号,"['南', '房东直卖', '满五年', '近地铁']"
3室2厅1卫,"['83.36㎡', '南', '低层(共34层)', '2011年建造']",龙湖弗莱明戈一期,郫都郫筒蜀信东路18号,"['南', '热门小区', '近地铁', '配套成熟']"
3室2厅2卫,"['105.72㎡', '东南', '中层(共17层)', '2020年建造']",铂景台,郫都犀浦两河西路9号,"['东南', '唯一住房', '近地铁', '绿化率高']"
3室2厅2卫,"['95㎡', '东北', '高层(共33层)', '2021年建造']",奥园玖俪湾,新都斑竹园中利路,"['东北', '房东直卖', '满二年', '近地铁']"
4室2厅2卫,"['120㎡', '东', '高层(共32层)', '2018年建造']",碧桂园海德公园,双流彭镇花园路二段333号,"['东', '车位充足']"
3室2厅2卫,"['113.5㎡', '南北', '中层(共34层)', '2020年建造']",中海云麓世家,双流华府和顺路二段55号,"['南北', '有电梯', '近地铁', '车位充足']"
3室2厅1卫,"['89㎡', '南', '低层(共26层)', '2020年建造']",雪松雅居乐IN天府,"成华火车东站峨眉山路999号,白龙江路299号","['南', '满五年', '近地铁', '车位充足']"
4室2厅1卫,"['92.19㎡', '南', '低层(共6层)', '2003年建造']",出水芙蓉,天府新区华阳利通路99号,"['南', '满五年', '近地铁', '绿化率高']"
2室2厅1卫,"['72.94㎡', '南', '低层(共6层)', '2003年建造']",城市绿舟花园,金牛交大路长庆路1号,"['南', '满五年', '近地铁']"
3室2厅2卫,"['96.84㎡', '北', '中层(共16层)', '2011年建造']",佰客郡,双流航空港机场路常乐二段111号,"['北', '满五年']"
3室2厅2卫,"['82㎡', '南北', '低层(共25层)', '2018年建造']",朗基少帅府,郫都犀浦万福新街45号,"['南北', '热门小区', '新上小区', '房东急售']"
2室2厅1卫,"['87.56㎡', '南', '中层(共32层)', '2014年建造']",名著司南,高新区南延线雅和南一路99号,"['南', '满五年', '近地铁', '多人关注']"
4室2厅2卫,"['133.11㎡', '东', '中层(共40层)', '2018年建造']",招商依云上城(二期),龙泉驿西河群辉北路219号,"['东', '满二年', '采光较好']"
2室2厅1卫,"['85.8㎡', '南', '低层(共18层)', '2013年建造']",欧韵金沙,青羊金沙蜀辉路686号,"['南', '满五年', '近地铁']"
2室2厅1卫,"['89.55㎡', '南', '低层(共18层)', '2012年建造']",鹭岛国际社区四期,"武侯外双楠鹭岛路33号,鹭岛路36号","['南', '满五年', '近地铁', '多人关注']"
3室2厅1卫,"['96㎡', '北', '低层(共26层)', '2015年建造']",百悦城,"龙泉驿大面金桉路1号,金梨路33号","['北', '热门小区', '新上小区', '配套成熟']"
3室2厅1卫,"['72㎡', '西南', '低层(共16层)', '2015年建造']",金楠缤纷,武侯外双楠顺兴路369号,"['西南', '满二年', '近地铁']"
3室2厅2卫,"['128.83㎡', '南', '高层(共18层)', '2008年建造']",西花汀,温江光华大道天宝西街299号,"['南', 'VIP房东直卖', '满五年', '近地铁']"
3室2厅2卫,"['95㎡', '南', '中层(共34层)', '2015年建造']",世茂城三期,"龙泉驿大面新建路88号,金茶路855号","['南', '满二年']"
3室1厅2卫,"['90.2㎡', '西北', '低层(共18层)', '2019年建造']",合能橙中心淘淘橙,郫都犀浦张家石桥街58号,"['西北', '满二年', '近地铁']"
3室2厅2卫,"['128.79㎡', '南', '低层(共33层)', '2016年建造']",湟普国际湟座,温江光华大道光华大道三段399号,"['南', '满五年', '近地铁', '绿化率高']"
3室2厅2卫,"['100.75㎡', '南北', '中层(共40层)', '2020年建造']",招商依云上城(二期),龙泉驿西河群辉北路219号,"['南北', '有电梯', '次新房']"
3室2厅1卫,"['91.89㎡', '南', '高层(共33层)', '2015年建造']",华侨凤凰国际城,"郫都郫筒望丛西路299号,梨园路一段118号","['南', '满五年', '近地铁', '户型方正']"
3室2厅1卫,"['118.27㎡', '南北', '中层(共17层)', '2016年建造']",神仙树大院,高新区神仙树紫荆西路6号,"['南北', '满五年', '近地铁']"
3室2厅2卫,"['91.4㎡', '西北', '高层(共22层)', '2015年建造']",五彩城西区,郫都郫筒文信路518号,"['西北', '近地铁']"
3室2厅1卫,"['88㎡', '南北', '低层(共30层)', '2008年建造']",华润翡翠城4期,锦江万达华润路158号,"['南北', '满五年', '近地铁']"
5室3厅5卫,"['84.66㎡', '南北', '低层(共33层)', '2020年建造']",南湖逸家,双流华府顺兴路一段468号,"['南北', '满五年', '近地铁', '次新房']"
3室2厅2卫,"['95.67㎡', '南北', '低层(共18层)', '2021年建造']",保利公园里(一期),"金牛天回镇大天路,天龙南一路222号","['南北', '满五年', '近地铁', '车位充足']"
2室2厅2卫,"['92.24㎡', '南北', '高层(共26层)', '2014年建造']",雅颂居(一期),高新区大源荣华北路299号,"['南北', '满五年', '近地铁']"
3室2厅2卫,"['116.6㎡', '南', '低层(共9层)', '2000年建造']",锦汇花园,金牛蜀汉路蜀通街98号,"['南', '满五年', '近地铁']"
3室1厅1卫,"['54.45㎡', '东南', '高层(共7层)', '1995年建造']",四道街1号院,青羊八宝街四道街1号,"['东南', '满五年', '近地铁']"
3室2厅2卫,"['104.56㎡', '南北', '高层(共15层)', '2015年建造']",大成郡,"双流航空港大件路文星段156号,星月路69号","['南北', '满五年']"
2室2厅1卫,"['85.86㎡', '南', '中层(共14层)', '2013年建造']",金沙御苑,金牛一品天下黄苑街117号,"['南', '满五年', '近地铁']"
3室1厅1卫,"['84.8㎡', '南', '中层(共34层)', '2014年建造']",中港悦蓉府,锦江琉璃厂锦华路255号,"['南', '房东直卖', '有电梯', '近地铁']"
3室2厅1卫,"['83.7㎡', '西南', '中层(共16层)', '2014年建造']",蓝润棠湖春天,双流航空港福通路99号,"['西南', '满二年']"
4室2厅2卫,"['127㎡', '北', '中层(共39层)', '2013年建造']",世豪广场天府豪庭,高新区大源荣华南路398号,"['北', '房东直卖', '满五年', '近地铁']"
4室2厅2卫,"['134.67㎡', '西北', '中层(共34层)', '2019年建造']",保利拉斐云邸,新都三河叠秀路1099号,"['经纪人力荐', '西北', '满二年']"
3室2厅1卫,"['83㎡', '南北', '中层(共33层)', '2008年建造']",锦绣东方(一期成华),成华万年场杉板桥南一路163号,"['南北', '有电梯', '近地铁']"
2室2厅1卫,"['81.94㎡', '西南', '低层(共26层)', '2014年建造']",军安卫士花园,高新区中和中和二街66号,"['西南', '满五年', '近地铁', '车位充足']"
4室2厅3卫,"['133.87㎡', '南北', '低层(共6层)', '2020年建造']",南阳锦城(3期),"天府新区华阳南湖路143号,正东中街188号","['南北', '满二年', '近地铁', '绿化率高']"
3室2厅2卫,"['107㎡', '南', '中层(共11层)', '2022年建造']",万科润园,新都大丰临河街366号,"['南', '有电梯', '近地铁', '车位充足']"
3室2厅2卫,"['90.69㎡', '南', '高层(共32层)', '2019年建造']",中冶中央公园,郫都郫筒梨园路一段708号,"['南', '满二年', '近地铁', '户型方正']"
3室2厅1卫,"['87.06㎡', '南', '低层(共26层)', '2003年建造']",皇城公寓,青羊天府广场人民南路一段97号,"['南', '南北通透', '优势户型', '公摊小']"
3室2厅1卫,"['84.93㎡', '西', '中层(共44层)', '2015年建造']",天府逸家三期,"龙泉驿大面金枫路128号,金槐街58号","['西', '满二年']"
3室2厅1卫,"['97.95㎡', '南', '中层(共25层)', '2015年建造']",成都后花园3期,郫都犀浦国宁东路1019号,"['南', '唯一住房', '近地铁', '车位充足']"
3室1厅2卫,"['81.63㎡', '南', '低层(共24层)', '2017年建造']",鼎犀名城,"郫都犀浦国宁东路666号,万福路516号","['南', '唯一住房', '近地铁', '绿化率高']"
4室2厅2卫,"['88.99㎡', '南北', '低层(共24层)', '2021年建造']",中海兰庭,高新区大源盛邦街333号,"['南北', '满二年', '近地铁', '次新房']"
3室2厅2卫,"['92.2㎡', '东南', '低层(共17层)', '2012年建造']",橙郡三期,高新西区中海国际碧林街99号,"['东南', '满五年', '近地铁']"
2室2厅1卫,"['66.14㎡', '东', '中层(共30层)', '2011年建造']",万科金色海蓉(一期),武侯科华路高阳路62号,"['东', '近地铁', '车位充足']"
2室1厅1卫,"['77.92㎡', '南', '高层(共31层)', '2007年建造']",天府长城图南多,高新区天府长城天顺路222号,"['南', '房东直卖', '满五年', '近地铁']"
3室2厅2卫,"['127.56㎡', '南', '高层(共40层)', '2018年建造']",中国铁建北湖国际城溪檀,成华龙潭寺湖秀二路8号,"['南', '满二年']"
3室2厅2卫,"['137.52㎡', '东西', '低层(共25层)', '2010年建造']",四季豪廷,"郫都郫筒科化一路31号,龙腾二路27号","['东西', '满五年', '近地铁']"
3室2厅1卫,"['93.66㎡', '南北', '高层(共29层)', '2015年建造']",洲际银海湾,温江光华大道江浦路888号,"['南北', '满五年', '近地铁', '绿化率高']"
3室2厅2卫,"['116.79㎡', '东南', '高层(共18层)', '2021年建造']",保利熙园,"郫都郫筒中信大道三段114号,何公路120号","['东南', 'VIP房东直卖', '满五年', '近地铁']"
2室2厅1卫,"['78.85㎡', '西南', '高层(共33层)', '2018年建造']",恒大天府半岛(二期),天府新区麓湖生态城天府大道2716号,"['西南', '满五年', '近地铁', '车位充足']"
3室2厅2卫,"['108.66㎡', '南北', '中层(共6层)', '2009年建造']",万科双水岸,新都新都新城区毗河东路6号,"['经纪人力荐', '南北', '配套成熟', '公摊小']"
3室2厅2卫,"['92.32㎡', '南北', '高层(共17层)', '2007年建造']",橙郡三期,高新西区中海国际碧林街99号,"['南北', '有电梯', '近地铁']"
3室2厅2卫,"['110㎡', '东', '低层(共33层)', '2019年建造']",中海锦江城云熙1期,天府新区锦江生态带瑞林北巷399号,"['东', '满二年', '近地铁']"
3室2厅2卫,"['90.43㎡', '南', '高层(共32层)', '2010年建造']",中铁西子香荷,青羊内光华琼楼路99号,"['南', '唯一住房', '近地铁']"
3室2厅2卫,"['106㎡', '南北', '高层(共27层)', '2014年建造']",博海城一期,"新都新都新城区博海路2号,博海支路29号","['南北', '近地铁']"
